Description,code_type,code_new
CLOSURE OF PERFORATED DUODENAL ULCER,readv2_5,re_76270
CLOSURE OF PERFORATED DUODENAL ULCER,readv2_7,re_7627000
CLOSURE OF PERFORATED GASTRIC ULCER,aurmedcode,au_269310018
CLOSURE OF PERFORATED GASTRIC ULCER,conceptid,co_173842008
CLOSURE OF PERFORATED GASTRIC ULCER,medcode,me_20677
CLOSURE OF PERFORATED GASTRIC ULCER,readv2_5,re_761J0
CLOSURE OF PERFORATED GASTRIC ULCER,readv2_7,re_761J000
CLOSURE PERFORAT GASTRIC ULCER,ctv3,ct_Y21Yd
CLOSURE PERFORATE DUODEN ULCER,ctv3,ct_Y21aM
DU - DUODENAL ULCER,ctv3,ct_Y306h
DUODENAL EROSION,aurmedcode,au_353328012
DUODENAL EROSION,conceptid,co_196670009
DUODENAL EROSION,conceptid,co_235692002
DUODENAL EROSION,ctv3,ct_Y3079
DUODENAL EROSION,medcode,me_3462
DUODENAL EROSION,readv2_5,re_J123.
DUODENAL EROSION,readv2_7,re_J123.00
DUODENAL ULCER,ctv3,ct_Y306g
DUODENAL ULCER - (DU),aurmedcode,au_632091000006116
DUODENAL ULCER - (DU),conceptid,co_51868009
DUODENAL ULCER - (DU),ctv3,ct_YMK8S
DUODENAL ULCER - (DU),medcode,me_352
DUODENAL ULCER - (DU),readv2_5,re_J12..
DUODENAL ULCER - (DU),readv2_7,re_J12..00
DUODENAL ULCER DISEASE,aurmedcode,au_86362013
DUODENAL ULCER DISEASE,conceptid,co_196669008
DUODENAL ULCER DISEASE,ctv3,ct_Y308N
DUODENAL ULCER DISEASE,medcode,me_22918
DUODENAL ULCER DISEASE,readv2_5,re_J122.
DUODENAL ULCER DISEASE,readv2_7,re_J122.00
DUODENAL ULCER EXCISION,readv2_5,re_7627.
DUODENAL ULCER NOS,aurmedcode,au_302542019
DUODENAL ULCER NOS,conceptid,co_155700000
DUODENAL ULCER NOS,conceptid,co_196680008
DUODENAL ULCER NOS,ctv3,ct_Y306i
DUODENAL ULCER NOS,medcode,me_15175
DUODENAL ULCER NOS,readv2_5,re_J12z.
DUODENAL ULCER NOS,readv2_7,re_J12z.00
DUODENAL ULCER WITH PERFORATION,conceptid,co_88968005
ENDO INJ HAEMOST GASTRIC ULCER,ctv3,ct_YagDI
ENDOSCOPIC INJECTION HAEMOSTASIS OF GASTRIC ULCER,aurmedcode,au_459013012
ENDOSCOPIC INJECTION HAEMOSTASIS OF GASTRIC ULCER,conceptid,co_314629004
ENDOSCOPIC INJECTION HAEMOSTASIS OF GASTRIC ULCER,medcode,me_63718
ENDOSCOPIC INJECTION HAEMOSTASIS OF GASTRIC ULCER,readv2_5,re_761D6
ENDOSCOPIC INJECTION HAEMOSTASIS OF GASTRIC ULCER,readv2_7,re_761D600
GASTRIC EROSIONS,readv2_5,re_J11z.
GASTRIC ULCER,conceptid,co_397825006
GASTRIC ULCER,ctv3,ct_Y303R
GASTRIC ULCER - (GU),aurmedcode,au_221001000000111
GASTRIC ULCER - (GU),ctv3,ct_YMK8R
GASTRIC ULCER - (GU),medcode,me_1262
GASTRIC ULCER - (GU),readv2_5,re_J11..
GASTRIC ULCER - (GU),readv2_7,re_J11..00
GASTRIC ULCER NOS,aurmedcode,au_396345015
GASTRIC ULCER NOS,conceptid,co_155690002
GASTRIC ULCER NOS,conceptid,co_266436006
GASTRIC ULCER NOS,ctv3,ct_Y303W
GASTRIC ULCER NOS,medcode,me_29771
GASTRIC ULCER NOS,readv2_7,re_J11z.00
GASTRIC ULCER OPERATION OS,ctv3,ct_Y21Wd
GASTRIC ULCER WITH HEMORRHAGE,conceptid,co_15902003
GASTRIC ULCER WITH HEMORRHAGE AND PERFORATION,conceptid,co_62366003
GASTRIC ULCER WITH PERFORATION,conceptid,co_9829001
GASTROCOLIC ULCER,aurmedcode,au_40392014
GASTROCOLIC ULCER,conceptid,co_24060004
GASTROCOLIC ULCER,ctv3,ct_Y308Y
GASTROCOLIC ULCER,medcode,me_64913
GASTROCOLIC ULCER,readv2_7,re_J14..12
GASTROJEJUNAL ULCER,ctv3,ct_Y308V
GASTROJEJUNAL ULCER (GJU),aurmedcode,au_221011000000113
GASTROJEJUNAL ULCER (GJU),ctv3,ct_YMK8T
GASTROJEJUNAL ULCER (GJU),medcode,me_23082
GASTROJEJUNAL ULCER (GJU),readv2_7,re_J14..00
GASTROJEJUNAL ULCER NOS,aurmedcode,au_302615014
GASTROJEJUNAL ULCER NOS,conceptid,co_196730006
GASTROJEJUNAL ULCER NOS,ctv3,ct_Y308c
GASTROJEJUNAL ULCER NOS,medcode,me_15403
GASTROJEJUNAL ULCER NOS,readv2_5,re_J14z.
GASTROJEJUNAL ULCER NOS,readv2_7,re_J14z.00
GJU - GASTROJEJUNAL ULCER,ctv3,ct_Y308W
GU - GASTRIC ULCER,ctv3,ct_Y303U
H/O: PEPTIC ULCER,conceptid,co_266998003
H/O: PEPTIC ULCER,ctv3,ct_Ya054
MULTIPLE GASTRIC ULCERS,aurmedcode,au_457315015
MULTIPLE GASTRIC ULCERS,conceptid,co_313425006
MULTIPLE GASTRIC ULCERS,ctv3,ct_Y3042
MULTIPLE GASTRIC ULCERS,medcode,me_52323
MULTIPLE GASTRIC ULCERS,readv2_7,re_J11z.12
OPERATION ON GASTRIC ULCER NOS,aurmedcode,au_269315011
OPERATION ON GASTRIC ULCER NOS,conceptid,co_173845005
OPERATION ON GASTRIC ULCER NOS,ctv3,ct_Y21Wc
OPERATION ON GASTRIC ULCER NOS,medcode,me_33914
OPERATION ON GASTRIC ULCER NOS,readv2_5,re_761Jz
OPERATION ON GASTRIC ULCER NOS,readv2_7,re_761Jz00
OPERATIONS ON DUODENAL ULCER,aurmedcode,au_269371013
OPERATIONS ON DUODENAL ULCER,conceptid,co_173887007
OPERATIONS ON DUODENAL ULCER,ctv3,ct_Y21ZX
OPERATIONS ON DUODENAL ULCER,medcode,me_5928
OPERATIONS ON DUODENAL ULCER,readv2_7,re_7627.00
OPERATIONS ON GASTRIC ULCER,aurmedcode,au_269309011
OPERATIONS ON GASTRIC ULCER,conceptid,co_171175005
OPERATIONS ON GASTRIC ULCER,ctv3,ct_Y21Wa
OPERATIONS ON GASTRIC ULCER,medcode,me_23688
OPERATIONS ON GASTRIC ULCER,readv2_5,re_761J.
OPERATIONS ON GASTRIC ULCER,readv2_7,re_761J.00
OTHER SPECIFIED OPERATION ON GASTRIC ULCER,aurmedcode,au_269314010
OTHER SPECIFIED OPERATION ON GASTRIC ULCER,conceptid,co_173844009
OTHER SPECIFIED OPERATION ON GASTRIC ULCER,medcode,me_94104
OTHER SPECIFIED OPERATION ON GASTRIC ULCER,readv2_5,re_761Jy
OTHER SPECIFIED OPERATION ON GASTRIC ULCER,readv2_7,re_761Jy00
PEPTIC ULCER,conceptid,co_13200003
PEPTIC ULCER - (PU) SITE UNSP.,ctv3,ct_YM0uN
PEPTIC ULCER - (PU) SITE UNSPECIFIED,aurmedcode,au_396346019
PEPTIC ULCER - (PU) SITE UNSPECIFIED,conceptid,co_266437002
PEPTIC ULCER - (PU) SITE UNSPECIFIED,medcode,me_670
PEPTIC ULCER - (PU) SITE UNSPECIFIED,readv2_5,re_J13..
PEPTIC ULCER - (PU) SITE UNSPECIFIED,readv2_7,re_J13..00
PEPTIC ULCER NOS,aurmedcode,au_302576011
PEPTIC ULCER NOS,conceptid,co_155710009
PEPTIC ULCER NOS,conceptid,co_196705008
PEPTIC ULCER NOS,conceptid,co_266501005
PEPTIC ULCER NOS,ctv3,ct_Y3085
PEPTIC ULCER NOS,medcode,me_19928
PEPTIC ULCER NOS,readv2_5,re_J13z.
PEPTIC ULCER NOS,readv2_7,re_J13z.00
PEPTIC ULCER OF ESOPHAGUS,conceptid,co_6129004
PEPTIC ULCER OF OESOPHAGUS,aurmedcode,au_498969017
PEPTIC ULCER OF OESOPHAGUS,ctv3,ct_Y300w
PEPTIC ULCER OF OESOPHAGUS,medcode,me_24021
PEPTIC ULCER OF OESOPHAGUS,readv2_5,re_J1020
PEPTIC ULCER OF OESOPHAGUS,readv2_7,re_J102000
PERFORATED CHRONIC GASTRIC ULCER,aurmedcode,au_484836012
PERFORATED CHRONIC GASTRIC ULCER,conceptid,co_196637004
PERFORATED CHRONIC GASTRIC ULCER,medcode,me_11104
PERFORATED CHRONIC GASTRIC ULCER,readv2_7,re_J111211
PERFORATED CHRONIC GU,ctv3,ct_Y3067
PREPYLORIC ULCER,aurmedcode,au_37964010
PREPYLORIC ULCER,conceptid,co_196627009
PREPYLORIC ULCER,conceptid,co_22620000
PREPYLORIC ULCER,ctv3,ct_Y303T
PREPYLORIC ULCER,medcode,me_6333
PREPYLORIC ULCER,readv2_7,re_J11..11
PYLORIC ULCER,aurmedcode,au_65759011
PYLORIC ULCER,conceptid,co_39204006
PYLORIC ULCER,ctv3,ct_Y303S
PYLORIC ULCER,medcode,me_3101
PYLORIC ULCER,readv2_7,re_J11..12
RECURRENT DUODENAL ULCER,aurmedcode,au_302530012
RECURRENT DUODENAL ULCER,conceptid,co_196671008
RECURRENT DUODENAL ULCER,ctv3,ct_YaY9q
RECURRENT DUODENAL ULCER,medcode,me_29317
RECURRENT DUODENAL ULCER,readv2_5,re_J124.
RECURRENT DUODENAL ULCER,readv2_7,re_J124.00
RESECTION OF GASTRIC ULCER BY CAUTERY,aurmedcode,au_269116019
RESECTION OF GASTRIC ULCER BY CAUTERY,conceptid,co_173731008
RESECTION OF GASTRIC ULCER BY CAUTERY,medcode,me_64710
RESECTION OF GASTRIC ULCER BY CAUTERY,readv2_5,re_76125
RESECTION OF GASTRIC ULCER BY CAUTERY,readv2_7,re_7612500
STOMACH ULCER EXCISION,ctv3,ct_Ya6JW
STOMACH ULCER OPERATIONS,aurmedcode,au_269308015
STOMACH ULCER OPERATIONS,ctv3,ct_Y21Wb
STOMACH ULCER OPERATIONS,medcode,me_6865
STOMACH ULCER OPERATIONS,readv2_5,re_6865.
STOMACH ULCER OPERATIONS,readv2_7,re_761J.11
STOMAL ULCER,aurmedcode,au_27285014
STOMAL ULCER,ctv3,ct_Y308b
STOMAL ULCER,medcode,me_1295
STOMAL ULCER,readv2_7,re_J14..15
STRESS ULCER NOS,aurmedcode,au_121891000006117
STRESS ULCER NOS,conceptid,co_196681007
STRESS ULCER NOS,ctv3,ct_YM0uO
STRESS ULCER NOS,medcode,me_15821
STRESS ULCER NOS,readv2_7,re_J13..11
SUTURE OF GASTRIC ULCER,conceptid,co_307259004
SUTURE OF ULCER OF STOMACH NEC,aurmedcode,au_410931019
SUTURE OF ULCER OF STOMACH NEC,conceptid,co_275009005
SUTURE OF ULCER OF STOMACH NEC,ctv3,ct_Y21Wn
SUTURE OF ULCER OF STOMACH NEC,medcode,me_70005
SUTURE OF ULCER OF STOMACH NEC,readv2_7,re_761J111
UNSPEC DUODENAL ULCER; UNSPEC HAEMORRHAGE AND/OR PERFORATION,aurmedcode,au_81301000006118
UNSPEC DUODENAL ULCER; UNSPEC HAEMORRHAGE AND/OR PERFORATION,medcode,me_28366
UNSPEC DUODENAL ULCER; UNSPEC HAEMORRHAGE AND/OR PERFORATION,readv2_5,re_J12yy
UNSPEC DUODENAL ULCER; UNSPEC HAEMORRHAGE AND/OR PERFORATION,readv2_7,re_J12yy00
UNSPEC GASTRIC ULCER; UNSPEC HAEMORRHAGE AND/OR PERFORATION,aurmedcode,au_81311000006115
UNSPEC GASTRIC ULCER; UNSPEC HAEMORRHAGE AND/OR PERFORATION,medcode,me_94397
UNSPEC GASTRIC ULCER; UNSPEC HAEMORRHAGE AND/OR PERFORATION,readv2_5,re_J11yy
UNSPEC GASTRIC ULCER; UNSPEC HAEMORRHAGE AND/OR PERFORATION,readv2_7,re_J11yy00
UNSPEC. DU + H'GE + PERFORAT.,ctv3,ct_Y306n
UNSPEC. DU + NO COMPLICATION,ctv3,ct_Y306q
UNSPEC. DU + OBSTRUCTION,ctv3,ct_Y306m
UNSPEC. DU + PERFORATION,ctv3,ct_Y306o
UNSPEC. GJU + HAEMORRHAGE,ctv3,ct_Y308i
UNSPEC. GJU + PERFORATION,ctv3,ct_Y308h
UNSPEC. GU + HAEMORRHAGE,ctv3,ct_Y303d
UNSPEC. GU + OBSTRUCTION,ctv3,ct_Y303a
UNSPEC. GU + PERFORATION,ctv3,ct_Y303c
UNSPEC. PU + H'GE + PERFORAT.,ctv3,ct_Y308A
UNSPEC. PU + HAEMORRHAGE,ctv3,ct_Y308C
UNSPEC. PU + NO COMPLICATION,ctv3,ct_Y308D
UNSPEC. PU + OBSTRUCTION,ctv3,ct_Y3089
UNSPEC. PU + PERFORATION,ctv3,ct_Y308B
UNSPEC.DU; UNSPEC.H'GE/PERF.,ctv3,ct_Y306l
UNSPEC.GASTROJEJUNAL ULCER NOS,ctv3,ct_Y308d
UNSPEC.GU; UNSPEC.H'GE/PERF.,ctv3,ct_Y303Z
UNSPECIF. GASTROJEJUNAL ULCER,ctv3,ct_Y308e
UNSPECIF. GU + NO COMPLICATION,ctv3,ct_Y303e
UNSPECIFIED DUODENAL ULCER,aurmedcode,au_302531011
UNSPECIFIED DUODENAL ULCER,conceptid,co_196672001
UNSPECIFIED DUODENAL ULCER,ctv3,ct_Y306j
UNSPECIFIED DUODENAL ULCER,medcode,me_53669
UNSPECIFIED DUODENAL ULCER,readv2_5,re_J12y.
UNSPECIFIED DUODENAL ULCER,readv2_7,re_J12y.00
UNSPECIFIED DUODENAL ULCER NOS,aurmedcode,au_302541014
UNSPECIFIED DUODENAL ULCER NOS,conceptid,co_196679005
UNSPECIFIED DUODENAL ULCER NOS,ctv3,ct_Y306k
UNSPECIFIED DUODENAL ULCER NOS,medcode,me_65737
UNSPECIFIED DUODENAL ULCER NOS,readv2_5,re_J12yz
UNSPECIFIED DUODENAL ULCER NOS,readv2_7,re_J12yz00
UNSPECIFIED DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_302537010
UNSPECIFIED DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_93436
UNSPECIFIED DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J12y3
UNSPECIFIED DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J12y300
UNSPECIFIED DUODENAL ULCER WITH OBSTRUCTION,aurmedcode,au_302538017
UNSPECIFIED DUODENAL ULCER WITH OBSTRUCTION,conceptid,co_196677007
UNSPECIFIED DUODENAL ULCER WITH OBSTRUCTION,conceptid,co_849601000000109
UNSPECIFIED DUODENAL ULCER WITH OBSTRUCTION,medcode,me_71904
UNSPECIFIED DUODENAL ULCER WITH OBSTRUCTION,readv2_5,re_J12y4
UNSPECIFIED DUODENAL ULCER WITH OBSTRUCTION,readv2_7,re_J12y400
UNSPECIFIED DUODENAL ULCER WITH PERFORATION,aurmedcode,au_302535019
UNSPECIFIED DUODENAL ULCER WITH PERFORATION,conceptid,co_196675004
UNSPECIFIED DUODENAL ULCER WITH PERFORATION,medcode,me_657
UNSPECIFIED DUODENAL ULCER WITH PERFORATION,readv2_5,re_J12y2
UNSPECIFIED DUODENAL ULCER WITH PERFORATION,readv2_7,re_J12y200
UNSPECIFIED DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302532016
UNSPECIFIED DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196673006
UNSPECIFIED DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_71150
UNSPECIFIED DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J12y0
UNSPECIFIED DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J12y000
UNSPECIFIED GASTRIC ULCER,aurmedcode,au_302485014
UNSPECIFIED GASTRIC ULCER,conceptid,co_196642007
UNSPECIFIED GASTRIC ULCER,ctv3,ct_Y303X
UNSPECIFIED GASTRIC ULCER,medcode,me_53081
UNSPECIFIED GASTRIC ULCER,readv2_5,re_J11y.
UNSPECIFIED GASTRIC ULCER,readv2_7,re_J11y.00
UNSPECIFIED GASTRIC ULCER NOS,aurmedcode,au_302495019
UNSPECIFIED GASTRIC ULCER NOS,conceptid,co_196649003
UNSPECIFIED GASTRIC ULCER NOS,ctv3,ct_Y303Y
UNSPECIFIED GASTRIC ULCER NOS,medcode,me_44284
UNSPECIFIED GASTRIC ULCER NOS,readv2_5,re_J11yz
UNSPECIFIED GASTRIC ULCER NOS,readv2_7,re_J11yz00
UNSPECIFIED GASTRIC ULCER WITH HAEMORRHAGE,aurmedcode,au_302487018
UNSPECIFIED GASTRIC ULCER WITH HAEMORRHAGE,conceptid,co_196644008
UNSPECIFIED GASTRIC ULCER WITH HAEMORRHAGE,medcode,me_57958
UNSPECIFIED GASTRIC ULCER WITH HAEMORRHAGE,readv2_5,re_J11y1
UNSPECIFIED GASTRIC ULCER WITH HAEMORRHAGE,readv2_7,re_J11y100
UNSPECIFIED GASTRIC ULCER WITH OBSTRUCTION,aurmedcode,au_302492016
UNSPECIFIED GASTRIC ULCER WITH OBSTRUCTION,conceptid,co_196647001
UNSPECIFIED GASTRIC ULCER WITH OBSTRUCTION,conceptid,co_849591000000103
UNSPECIFIED GASTRIC ULCER WITH OBSTRUCTION,medcode,me_73697
UNSPECIFIED GASTRIC ULCER WITH OBSTRUCTION,readv2_5,re_J11y4
UNSPECIFIED GASTRIC ULCER WITH OBSTRUCTION,readv2_7,re_J11y400
UNSPECIFIED GASTRIC ULCER WITH PERFORATION,aurmedcode,au_302489015
UNSPECIFIED GASTRIC ULCER WITH PERFORATION,conceptid,co_196645009
UNSPECIFIED GASTRIC ULCER WITH PERFORATION,medcode,me_36461
UNSPECIFIED GASTRIC ULCER WITH PERFORATION,readv2_5,re_J11y2
UNSPECIFIED GASTRIC ULCER WITH PERFORATION,readv2_7,re_J11y200
UNSPECIFIED GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302486010
UNSPECIFIED GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196643002
UNSPECIFIED GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_73338
UNSPECIFIED GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J11y0
UNSPECIFIED GASTRIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J11y000
UNSPECIFIED GASTROJEJUNAL ULCER,aurmedcode,au_302604016
UNSPECIFIED GASTROJEJUNAL ULCER,conceptid,co_196722005
UNSPECIFIED GASTROJEJUNAL ULCER,medcode,me_63482
UNSPECIFIED GASTROJEJUNAL ULCER,readv2_5,re_J14y.
UNSPECIFIED GASTROJEJUNAL ULCER,readv2_7,re_J14y.00
UNSPECIFIED GASTROJEJUNAL ULCER NOS,aurmedcode,au_302614013
UNSPECIFIED GASTROJEJUNAL ULCER NOS,conceptid,co_196729001
UNSPECIFIED GASTROJEJUNAL ULCER NOS,medcode,me_66092
UNSPECIFIED GASTROJEJUNAL ULCER NOS,readv2_5,re_J14yz
UNSPECIFIED GASTROJEJUNAL ULCER NOS,readv2_7,re_J14yz00
UNSPECIFIED GASTROJEJUNAL ULCER WITH HAEMORRHAGE,aurmedcode,au_302606019
UNSPECIFIED GASTROJEJUNAL ULCER WITH HAEMORRHAGE,conceptid,co_196724006
UNSPECIFIED GASTROJEJUNAL ULCER WITH HAEMORRHAGE,medcode,me_60346
UNSPECIFIED GASTROJEJUNAL ULCER WITH HAEMORRHAGE,readv2_5,re_J14y1
UNSPECIFIED GASTROJEJUNAL ULCER WITH HAEMORRHAGE,readv2_7,re_J14y100
UNSPECIFIED GASTROJEJUNAL ULCER WITH PERFORATION,aurmedcode,au_302608018
UNSPECIFIED GASTROJEJUNAL ULCER WITH PERFORATION,conceptid,co_196725007
UNSPECIFIED GASTROJEJUNAL ULCER WITH PERFORATION,medcode,me_15979
UNSPECIFIED GASTROJEJUNAL ULCER WITH PERFORATION,readv2_5,re_J14y2
UNSPECIFIED GASTROJEJUNAL ULCER WITH PERFORATION,readv2_7,re_J14y200
UNSPECIFIED PEPTIC ULCER,aurmedcode,au_302565012
UNSPECIFIED PEPTIC ULCER,conceptid,co_196697002
UNSPECIFIED PEPTIC ULCER,ctv3,ct_Y3086
UNSPECIFIED PEPTIC ULCER,medcode,me_50497
UNSPECIFIED PEPTIC ULCER,readv2_5,re_J13y.
UNSPECIFIED PEPTIC ULCER,readv2_7,re_J13y.00
UNSPECIFIED PEPTIC ULCER NOS,aurmedcode,au_302575010
UNSPECIFIED PEPTIC ULCER NOS,conceptid,co_196704007
UNSPECIFIED PEPTIC ULCER NOS,ctv3,ct_Y3087
UNSPECIFIED PEPTIC ULCER NOS,medcode,me_60249
UNSPECIFIED PEPTIC ULCER NOS,readv2_5,re_J13yz
UNSPECIFIED PEPTIC ULCER NOS,readv2_7,re_J13yz00
UNSPECIFIED PEPTIC ULCER WITH HAEMORRHAGE,aurmedcode,au_302568014
UNSPECIFIED PEPTIC ULCER WITH HAEMORRHAGE,medcode,me_70456
UNSPECIFIED PEPTIC ULCER WITH HAEMORRHAGE,readv2_5,re_J13y1
UNSPECIFIED PEPTIC ULCER WITH HAEMORRHAGE,readv2_7,re_J13y100
UNSPECIFIED PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_302571018
UNSPECIFIED PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_96622
UNSPECIFIED PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J13y3
UNSPECIFIED PEPTIC ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J13y300
UNSPECIFIED PEPTIC ULCER WITH OBSTRUCTION,aurmedcode,au_302572013
UNSPECIFIED PEPTIC ULCER WITH OBSTRUCTION,conceptid,co_196702006
UNSPECIFIED PEPTIC ULCER WITH OBSTRUCTION,conceptid,co_849611000000106
UNSPECIFIED PEPTIC ULCER WITH OBSTRUCTION,medcode,me_99670
UNSPECIFIED PEPTIC ULCER WITH OBSTRUCTION,readv2_5,re_J13y4
UNSPECIFIED PEPTIC ULCER WITH OBSTRUCTION,readv2_7,re_J13y400
UNSPECIFIED PEPTIC ULCER WITH PERFORATION,aurmedcode,au_302569018
UNSPECIFIED PEPTIC ULCER WITH PERFORATION,conceptid,co_196700003
UNSPECIFIED PEPTIC ULCER WITH PERFORATION,medcode,me_64111
UNSPECIFIED PEPTIC ULCER WITH PERFORATION,readv2_5,re_J13y2
UNSPECIFIED PEPTIC ULCER WITH PERFORATION,readv2_7,re_J13y200
UNSPECIFIED PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302566013
UNSPECIFIED PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196698007
UNSPECIFIED PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_67082
UNSPECIFIED PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J13y0
UNSPECIFIED PEPTIC ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J13y000
[V] PERSONAL HISTORY OF GASTRIC ULCER,aurmedcode,au_454252012
[V] PERSONAL HISTORY OF GASTRIC ULCER,conceptid,co_275548000
[V] PERSONAL HISTORY OF GASTRIC ULCER,conceptid,co_310644007
[V] PERSONAL HISTORY OF GASTRIC ULCER,conceptid,co_315764006
[V] PERSONAL HISTORY OF GASTRIC ULCER,conceptid,co_412191000000104
[V] PERSONAL HISTORY OF GASTRIC ULCER,medcode,me_41271
[V] PERSONAL HISTORY OF GASTRIC ULCER,readv2_5,re_ZV12C
[V] PERSONAL HISTORY OF GASTRIC ULCER,readv2_7,re_ZV12C00
[V]PERS HIST OF PEPTIC ULCER,ctv3,ct_YaadN
[V]PERSONAL HISTORY OF DIGESTIVE SYSTEM DISEASE,readv2_5,re_ZV127
[V]PERSONAL HISTORY OF PEPTIC ULCER,aurmedcode,au_345501000006119
[V]PERSONAL HISTORY OF PEPTIC ULCER,conceptid,co_315759007
[V]PERSONAL HISTORY OF PEPTIC ULCER,medcode,me_26261
[V]PERSONAL HISTORY OF PEPTIC ULCER,readv2_7,re_ZV12711
[V]PH OF GASTRIC ULCER,ctv3,ct_Yac7T
